Depth,GR,MUD_VOLUME,TVD,Boundary_flag,Unit_index,GR_shape_code,Lithofacies_major,Sharp_boundary,Stacking_pattern,Biostratigraphy,Reliability,Special_lithology,Core_depofacies,Lateral_proximity,Number_of_similar_units_50,Index_of_similar_units_50,Number_of_similar_units_100,Index_of_similar_units_100,Unit_Thick,Alluvial_Fan,Fluvial_Channel,Fluvial_Point_Bar,Levee,Crevasse_Splay,Fluvial_Floodplain,Progradational_Lacustrine_Delta,Lacustrine_Fan_Delta,Progradational_Lacustrine_Shoreface,Transgressive_Lacustrine_Shoreface,Aggradational_Lacustrine_Shoreface,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Proximal_Sub-Lacustrine_Fan,Distal_Sub-Lacustrine_Fan,Lacustrine_Turbidite,Distal_Lacustrine_Turbidites,Lacustrine_Deepwater,Marine_Delta,Marine_Fan_Delta,Tidal_Channel_And_Sand_Flat,Sandy_Tidal_Flat,Mixed_Tidal_Flat,Muddy_Tidal_Flat,Lagoon,Progradational_Marine_Shoreface,Transgressive_Marine_Shoreface,Aggradational_Marine_Shoreface,Marine_Offshore_Transition,Marine_Shelf,Proximal_Submarine_Fan,Distal_Submarine_Fan,Marine_Turbidite,Distal_Marine_Turbidites,Marine_Deepwater
1802.7698,111.9172,0.2614,1802.7977,1,0,1,2,0,3,4,2,[],[-9999.0],-9999,0,[],0,[],2.6999000000000706,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,5,0,0
1804.0698,160.7893,0.452,1804.0978,1,1,5,4,0,2,4,2,[],[-9999.0],-9999,0,[],0,[],1.3000999999999294,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,5
1805.8698,148.5809,0.9716,1805.8979,1,2,5,4,0,2,4,2,[],[-9999.0],-9999,2,"[4, 6]",0,[],1.8000999999999294,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,5
1807.1698,163.304,0.9972,1807.1979,1,3,5,4,0,2,4,2,[],[-9999.0],-9999,2,"[7, 22]",0,[],1.2999999999999545,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,5
1809.0698,147.3711,0.9993,1809.0978,1,4,5,4,0,1,4,2,[],[-9999.0],-9999,2,"[6, 2]",0,[],1.899900000000116,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,5
1810.0698,156.4774,0.9981,1810.0979,1,5,5,4,0,1,4,2,[],[-9999.0],-9999,0,[],0,[],1.000099999999975,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,5
1811.9698,145.7693,0.9995,1811.9978,1,6,5,4,0,1,4,2,[],[-9999.0],-9999,3,"[9, 2, 4]",0,[],1.899900000000116,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,5
1813.7698,160.5157,0.6848,1813.7979,1,7,5,4,0,2,4,2,[],[-9999.0],-9999,2,"[22, 3]",0,[],1.8000999999999294,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,5
1815.4698,154.8815,0.9995,1815.4979,1,8,5,4,0,3,4,2,[],[-9999.0],-9999,0,[],0,[],1.7000000000000455,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,5
1817.1698,136.9664,0.9995,1817.1979,1,9,5,4,0,3,4,2,[],[-9999.0],-9999,1,[6],0,[],1.699999999999818,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,5
