Depth,GR,MUD_VOLUME,TVD,Boundary_flag,Unit_index,GR_shape_code,Lithofacies_major,Sharp_boundary,Stacking_pattern,Biostratigraphy,Reliability,Special_lithology,Core_depofacies,Lateral_proximity,Number_of_similar_units_50,Index_of_similar_units_50,Number_of_similar_units_100,Index_of_similar_units_100,Unit_Thick,Alluvial_Fan,Fluvial_Channel,Fluvial_Point_Bar,Levee,Crevasse_Splay,Fluvial_Floodplain,Progradational_Lacustrine_Delta,Lacustrine_Fan_Delta,Progradational_Lacustrine_Shoreface,Transgressive_Lacustrine_Shoreface,Aggradational_Lacustrine_Shoreface,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Proximal_Sub-Lacustrine_Fan,Distal_Sub-Lacustrine_Fan,Lacustrine_Turbidite,Distal_Lacustrine_Turbidites,Lacustrine_Deepwater,Marine_Delta,Marine_Fan_Delta,Tidal_Channel_And_Sand_Flat,Sandy_Tidal_Flat,Mixed_Tidal_Flat,Muddy_Tidal_Flat,Lagoon,Progradational_Marine_Shoreface,Transgressive_Marine_Shoreface,Aggradational_Marine_Shoreface,Marine_Offshore_Transition,Marine_Shelf,Proximal_Submarine_Fan,Distal_Submarine_Fan,Marine_Turbidite,Distal_Marine_Turbidites,Marine_Deepwater,Facies_group,Facies_below
1801.1991,49.5455,0.1447,1801.1991,1,0,1,2,0,2,4,2,[],-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,3,0,0,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
1802.4991,114.9,0.7255,1802.4991,1,1,4,3,0,2,4,2,[],-9999.0,-9999,0,[],0,[],1.2999999999999545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,4,0,0,0,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
1804.6991,41.5266,0.0678,1804.6991,1,2,1,2,0,3,4,2,[],-9999.0,-9999,0,[],0,[],2.2000000000000455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,3,0,0,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
1808.1991,126.5248,0.9990000000000001,1808.1991,1,3,5,4,0,2,4,2,[],-9999.0,-9999,0,[],0,[],3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,11,0,0,0,0,2,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
1809.3991,110.6289,0.9842,1809.3991,1,4,5,4,0,2,4,2,[],-9999.0,-9999,1,[27],0,[],1.2000000000000455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,13,0,0,0,0,5,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
1811.0991,157.4533,0.9996,1811.0991,1,5,5,4,0,2,4,2,[],-9999.0,-9999,0,[],0,[],1.699999999999818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,11,0,0,0,0,2,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
1813.9991,111.22,0.9921,1813.9993,1,6,5,4,0,3,4,2,[],-9999.0,-9999,0,[],0,[],2.9002000000000407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,8,0,0,0,0,2,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
1815.6991,120.1726,0.9987,1815.6991,1,7,5,4,0,3,4,2,[],-9999.0,-9999,5,"[12, 14, 15, 16, 25]",0,[],1.6998000000000957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,12,0,0,0,0,7,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
1817.9991,145.0905,0.9996,1817.9991,1,8,5,4,0,2,4,2,[],-9999.0,-9999,0,[],0,[],2.2999999999999545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,11,0,0,0,0,2,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
1819.3991,119.1631,0.9913,1819.3991,1,9,5,4,0,2,4,2,[],-9999.0,-9999,0,[],0,[],1.400000000000091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,11,0,0,0,0,2,"['Shallow_Marine', 'Marginal_Marine']",Shallow_Marine
