Depth,GR,MUD_VOLUME,TVD,Boundary_flag,Unit_index,GR_shape_code,Lithofacies_major,Sharp_boundary,Stacking_pattern,Biostratigraphy,Reliability,Special_lithology,Core_depofacies,Lateral_proximity,Number_of_similar_units_50,Index_of_similar_units_50,Number_of_similar_units_100,Index_of_similar_units_100,Unit_Thick,Alluvial_Fan,Fluvial_Channel,Fluvial_Point_Bar,Levee,Crevasse_Splay,Fluvial_Floodplain,Progradational_Lacustrine_Delta,Lacustrine_Fan_Delta,Progradational_Lacustrine_Shoreface,Transgressive_Lacustrine_Shoreface,Aggradational_Lacustrine_Shoreface,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Proximal_Sub-Lacustrine_Fan,Distal_Sub-Lacustrine_Fan,Lacustrine_Turbidite,Distal_Lacustrine_Turbidites,Lacustrine_Deepwater,Marine_Delta,Marine_Fan_Delta,Tidal_Channel_And_Sand_Flat,Sandy_Tidal_Flat,Mixed_Tidal_Flat,Muddy_Tidal_Flat,Lagoon,Progradational_Marine_Shoreface,Transgressive_Marine_Shoreface,Aggradational_Marine_Shoreface,Marine_Offshore_Transition,Marine_Shelf,Proximal_Submarine_Fan,Distal_Submarine_Fan,Marine_Turbidite,Distal_Marine_Turbidites,Marine_Deepwater
1800.0698,144.839,0.998,1800.0978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.1698,146.7505,0.9984,1800.1978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.2698,147.6529,0.9984,1800.2978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.3698,147.4469,0.9979,1800.3978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.4698,146.3873,0.9891,1800.4979,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.5698,145.2849,0.9814,1800.5979,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.6698,144.183,0.9758,1800.6978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.7698,143.2257,0.9869,1800.7978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.8698,142.5507,0.873,1800.8977,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.9698,142.3106,0.5527,1800.9978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.0698,142.2709,0.413,1801.0978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.1698,141.3693,0.3295,1801.1978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.2698,138.6677,0.2978,1801.2978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.3698,136.0376,0.2825,1801.3978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.4698,133.3302,0.2733,1801.4978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.5698,130.3855,0.2699,1801.5979,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.6698,126.8289,0.2989,1801.6978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.7698,123.3772,0.3321,1801.7978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.8698,120.8874,0.3455,1801.8979,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.9698,122.5077,0.3524,1801.9978,0,0,1,2,0,3,4,2,-9999,-9999.0,-9999,0,[],0,[],2.6999000000000706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0
