Depth,GR,MUD_VOLUME,TVD,Boundary_flag,Unit_index,GR_shape_code,Lithofacies_major,Sharp_boundary,Stacking_pattern,Biostratigraphy,Reliability,Special_lithology,Core_depofacies,Lateral_proximity,Number_of_similar_units_50,Index_of_similar_units_50,Number_of_similar_units_100,Index_of_similar_units_100,Unit_Thick,Alluvial_Fan,Fluvial_Channel,Fluvial_Point_Bar,Levee,Crevasse_Splay,Fluvial_Floodplain,Progradational_Lacustrine_Delta,Lacustrine_Fan_Delta,Progradational_Lacustrine_Shoreface,Transgressive_Lacustrine_Shoreface,Aggradational_Lacustrine_Shoreface,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Proximal_Sub-Lacustrine_Fan,Distal_Sub-Lacustrine_Fan,Lacustrine_Turbidite,Distal_Lacustrine_Turbidites,Lacustrine_Deepwater,Marine_Delta,Marine_Fan_Delta,Tidal_Channel_And_Sand_Flat,Sandy_Tidal_Flat,Mixed_Tidal_Flat,Muddy_Tidal_Flat,Lagoon,Progradational_Marine_Shoreface,Transgressive_Marine_Shoreface,Aggradational_Marine_Shoreface,Marine_Offshore_Transition,Marine_Shelf,Proximal_Submarine_Fan,Distal_Submarine_Fan,Marine_Turbidite,Distal_Marine_Turbidites,Marine_Deepwater
1799.9991,71.2305,0.2269,1799.9991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.0991,67.2546,0.2025,1800.0991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.1991,61.4792,0.1822,1800.1991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.2991,53.9291,0.1662,1800.2991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.3991,55.5162,0.1902,1800.3991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.4991,58.0028,0.2127,1800.4991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.5991,61.3605,0.2336,1800.5991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.6991,60.1694,0.2211,1800.6991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.7991,57.6786,0.2003,1800.7991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.8991,53.9241,0.1715,1800.8991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1800.9991,52.0379,0.1547,1800.9991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
1801.0991,50.5789,0.1458,1801.0991,0,0,1,2,0,2,4,2,-9999,-9999.0,-9999,0,[],0,[],1.2000000000000455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0
