Depth,GR,MUD_VOLUME,TVD,Boundary_flag,Unit_index,GR_shape_code,Lithofacies_major,Lithofacies_mean,Sharp_boundary,Stacking_pattern,Biostratigraphy,Reliability,Special_lithology,Core_depofacies,Lateral_proximity,Number_of_similar_units_50,Index_of_similar_units_50,Number_of_similar_units_100,Index_of_similar_units_100,Unit_Thick,Alluvial_Fan,Fluvial_Channel,Fluvial_Point_Bar,Levee,Crevasse_Splay,Fluvial_Floodplain,Progradational_Lacustrine_Delta,Lacustrine_Fan_Delta,Progradational_Lacustrine_Shoreface,Transgressive_Lacustrine_Shoreface,Aggradational_Lacustrine_Shoreface,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Proximal_Sub-Lacustrine_Fan,Distal_Sub-Lacustrine_Fan,Lacustrine_Turbidite,Distal_Lacustrine_Turbidites,Lacustrine_Deepwater,Marine_Delta,Marine_Fan_Delta,Tidal_Channel_And_Sand_Flat,Sandy_Tidal_Flat,Mixed_Tidal_Flat,Muddy_Tidal_Flat,Lagoon,Progradational_Marine_Shoreface,Transgressive_Marine_Shoreface,Aggradational_Marine_Shoreface,Marine_Offshore_Transition,Marine_Shelf,Proximal_Submarine_Fan,Distal_Submarine_Fan,Marine_Turbidite,Distal_Marine_Turbidites,Marine_Deepwater
1652.7487,71.4957,0.0847,1652.7487,0,0,2,1,1,0,1,6,1,-999,-999.0,0,0,[],0,[],1.0492999999996755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,6,0,0
1652.8986,71.0332,0.0804,1652.8986,0,0,2,1,1,0,1,6,1,-999,-999.0,0,0,[],0,[],1.0492999999996755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,6,0,0
1653.0485,70.9359,0.0795,1653.0485,0,0,2,1,1,0,1,6,1,-999,-999.0,0,0,[],0,[],1.0492999999996755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,6,0,0
1653.1984,70.0758,0.0718,1653.1984,0,0,2,1,1,0,1,6,1,-999,-999.0,0,0,[],0,[],1.0492999999996755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,6,0,0
1653.3483,68.682,0.0596,1653.3483,0,0,2,1,1,0,1,6,1,-999,-999.0,0,0,[],0,[],1.0492999999996755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,6,0,0
1653.4982,67.3338,0.0483,1653.4982,0,0,2,1,1,0,1,6,1,-999,-999.0,0,0,[],0,[],1.0492999999996755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,6,0,0
1653.6481,66.3348,0.0401,1653.6481,0,0,2,1,1,0,1,6,1,-999,-999.0,0,0,[],0,[],1.0492999999996755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,6,0,0
1653.7979999999998,66.3198,0.04,1653.7979999999998,1,0,2,1,1,0,1,6,1,-999,-999.0,0,0,[],0,[],1.0492999999996755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,6,0,0
1653.9479,66.7965,0.0439,1653.9479,0,1,4,1,1,0,1,6,1,-999,-999.0,2,0,[],0,[],2.9980000000002747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
1654.0978,67.2069,0.0472,1654.0978,0,1,4,1,1,0,1,6,1,-999,-999.0,2,0,[],0,[],2.9980000000002747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
