Depth,GR,MUD_VOLUME,TVD,Boundary_flag,Unit_index,GR_shape_code,Lithofacies_major,Lithofacies_mean,Sharp_boundary,Stacking_pattern,Biostratigraphy,Reliability,Special_lithology,Core_depofacies,Lateral_proximity,Number_of_similar_units_50,Index_of_similar_units_50,Number_of_similar_units_100,Index_of_similar_units_100,Unit_Thick,Alluvial_Fan,Fluvial_Channel,Fluvial_Point_Bar,Levee,Crevasse_Splay,Fluvial_Floodplain,Progradational_Lacustrine_Delta,Lacustrine_Fan_Delta,Progradational_Lacustrine_Shoreface,Transgressive_Lacustrine_Shoreface,Aggradational_Lacustrine_Shoreface,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Proximal_Sub-Lacustrine_Fan,Distal_Sub-Lacustrine_Fan,Lacustrine_Turbidite,Distal_Lacustrine_Turbidites,Lacustrine_Deepwater,Marine_Delta,Marine_Fan_Delta,Tidal_Channel_And_Sand_Flat,Sandy_Tidal_Flat,Mixed_Tidal_Flat,Muddy_Tidal_Flat,Lagoon,Progradational_Marine_Shoreface,Transgressive_Marine_Shoreface,Aggradational_Marine_Shoreface,Marine_Offshore_Transition,Marine_Shelf,Proximal_Submarine_Fan,Distal_Submarine_Fan,Marine_Turbidite,Distal_Marine_Turbidites,Marine_Deepwater,Facies_group
1653.7979999999998,66.3198,0.04,1653.7979999999998,1,0,2,1,1,0,1,6,1,[],-999.0,0,0,[],0,[],1.0492999999996755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,0,5,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1656.796,89.5409,0.2933,1656.796,1,1,4,1,1,0,1,6,1,[],-999.0,2,0,[],0,[],2.9980000000002747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1658.1451,65.8173,0.036000000000000004,1658.1451,1,2,1,1,2,0,1,6,1,[],-999.0,5,0,[],0,[],1.3490999999999076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,5,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1660.3936,65.4892,0.0334,1660.3936,1,3,2,1,1,0,1,6,1,[],-999.0,7,1,[4],0,[],2.248500000000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0,0,0,0,7,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1661.8926,72.0543,0.0898,1661.8926,1,4,2,1,1,0,1,6,1,[],-999.0,-999,1,[3],0,[],1.4989999999997963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,0,0,0,0,8,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1663.6914,63.04,0.0147,1663.6914,1,5,1,1,1,0,2,6,1,[],-999.0,-999,0,[],0,[],1.7988000000000284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,5,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1666.3896,115.2583,0.8482,1666.3896,1,6,4,1,2,0,2,6,1,[],-999.0,-999,0,[],0,[],2.6982000000000426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1668.1884,90.7229,0.3641,1668.1884,1,7,1,3,3,0,2,6,1,[],-999.0,-999,1,[19],0,[],1.7988000000000284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,16,0,7,0,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1669.2377,97.5282,0.46799999999999997,1669.2377,1,8,2,3,3,0,1,6,1,[],-999.0,-999,0,[],0,[],1.0492999999999029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,14,0,6,0,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1670.5868,87.7999,0.3241,1670.5868,1,9,2,2,2,0,1,6,1,[],-999.0,-999,0,[],0,[],1.349100000000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1672.5355,98.2787,0.4805,1672.5355,1,10,4,3,3,0,1,6,1,[],-999.0,-999,0,[],0,[],1.948699999999917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,6,0,0,0,"['Shallow_Marine', 'Marginal_Marine']"
1674.1844,100.8716,0.5256,1674.1844,1,11,2,3,3,0,1,6,1,[],-999.0,-999,0,[],0,[],1.6489000000001397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,14,0,6,0,0,0,"['Shallow_Marine', 'Marginal_Marine']"
