Depth,GR,MUD_VOLUME,TVD,Boundary_flag,Unit_index,GR_shape_code,Lithofacies_major,Lithofacies_mean,Sharp_boundary,Stacking_pattern,Biostratigraphy,Reliability,Special_lithology,Core_depofacies,Number_of_similar_units_50,Index_of_similar_units_50,Number_of_similar_units_100,Index_of_similar_units_100,Unit_Thick,Alluvial_Fan,Fluvial_Channel,Fluvial_Point_Bar,Levee,Crevasse_Splay,Fluvial_Floodplain,Progradational_Lacustrine_Delta,Lacustrine_Fan_Delta,Progradational_Lacustrine_Shoreface,Transgressive_Lacustrine_Shoreface,Aggradational_Lacustrine_Shoreface,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Proximal_Sub-Lacustrine_Fan,Distal_Sub-Lacustrine_Fan,Lacustrine_Turbidite,Distal_Lacustrine_Turbidites,Lacustrine_Deepwater,Marine_Delta,Marine_Fan_Delta,Tidal_Channel_and_Sand_Flat,Sandy_Tidal_Flat,Mixed_Tidal_Flat,Muddy_Tidal_Flat,Lagoon,Progradational_Marine_Shoreface,Transgressive_Marine_Shoreface,Aggradational_Marine_Shoreface,Marine_Offshore_Transition,Marine_Shelf,Proximal_Submarine_Fan,Distal_Submarine_Fan,Marine_Turbidite,Distal_Marine_Turbidites,Marine_Deepwater
1652.7487,71.4957,0.0847,1652.7487,0,0,2,1,1,0,1,6,1,-999,-999.0,0,[],0,[],1.0492999999996755,0,3,0,4,5,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,5,0,0
1653.9479,66.7965,0.0439,1653.9479,0,1,4,1,1,0,1,6,1,-999,-999.0,0,[],0,[],2.9980000000002747,3,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1656.9459,89.0773,0.2867,1656.9459,0,2,1,1,2,0,1,6,1,-999,-999.0,0,[],0,[],1.3490999999999076,0,3,3,4,5,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0
1658.295,65.9554,0.0371,1658.295,0,3,2,1,1,0,1,6,1,-999,-999.0,1,[4],0,[],2.248500000000149,0,3,0,4,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0
1660.5435,66.8885,0.0446,1660.5435,0,4,2,1,1,0,1,6,1,-999,-999.0,1,[3],0,[],1.4989999999997963,0,3,0,4,5,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,5,0,0
1662.0425,71.7441,0.087,1662.0425,0,5,1,1,1,0,2,6,1,-999,-999.0,0,[],0,[],1.7988000000000284,0,3,3,4,5,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0
1663.8413,63.0497,0.0147,1663.8413,0,6,4,1,2,0,2,6,1,-999,-999.0,0,[],0,[],2.6982000000000426,3,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1666.5395,112.6973,0.7787,1666.5396,0,7,1,3,3,0,2,6,1,-999,-999.0,1,[19],0,[],1.7988000000000284,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1668.3383,90.8364,0.3657,1668.3383,0,8,2,3,3,0,1,6,1,-999,-999.0,0,[],0,[],1.0492999999999029,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1669.3876,96.5586,0.4521,1669.3876,0,9,2,2,2,0,1,6,1,-999,-999.0,0,[],0,[],1.349100000000135,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
1670.7367,88.3248,0.3311,1670.7367,0,10,4,3,3,0,1,6,1,-999,-999.0,0,[],0,[],1.948699999999917,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1672.6854,97.1478,0.4617,1672.6854,0,11,2,3,3,0,1,6,1,-999,-999.0,0,[],0,[],1.6489000000001397,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1674.3343,100.0697,0.5113,1674.3344,0,12,1,3,2,0,3,6,1,-999,-999.0,0,[],0,[],3.5976000000000568,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1677.9319,84.6039,0.2833,1677.9319,0,13,2,2,2,0,3,6,1,-999,-999.0,1,[22],0,[],1.0492999999999029,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
1678.9812,88.7064,0.3362,1678.9812,0,14,2,2,2,0,2,6,1,-999,-999.0,1,[17],0,[],2.5482999999999265,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0
1681.5295,88.7712,0.3249,1681.5295,0,15,4,3,3,0,2,6,1,-999,-999.0,2,"[18, 26]",0,[],1.4989000000000487,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1683.0285,105.5447,0.5567,1683.0284,0,16,1,2,2,0,2,6,1,-999,-999.0,0,[],0,[],1.3491999999998825,0,3,3,5,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,5,0,0
1684.3776,88.4733,0.3081,1684.3776,0,17,2,2,2,0,2,6,1,-999,-999.0,2,"[22, 14]",0,[],1.7988000000000284,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
1686.1764,89.5225,0.4034,1686.1764,0,18,4,3,3,0,2,6,1,-999,-999.0,2,"[26, 15]",0,[],1.349100000000135,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1687.5255,106.6027,0.7151,1687.5255,0,19,1,3,3,0,2,6,1,-999,-999.0,1,[7],0,[],1.0492999999999029,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1688.5748,94.9242,0.4982,1688.5748,0,20,4,3,3,0,2,6,1,-999,-999.0,0,[],0,[],3.297800000000052,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1691.8726,124.0416,0.7704,1691.8726,0,21,1,3,3,0,3,6,1,-999,-999.0,0,[],0,[],4.497000000000071,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1696.3696,88.0032,0.252,1696.3696,0,22,2,2,2,0,3,6,1,-999,-999.0,2,"[13, 17]",0,[],1.3490999999999076,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
1697.7187,93.3747,0.3086,1697.7188,0,23,1,2,2,0,3,6,1,-999,-999.0,1,[25],0,[],1.948699999999917,0,3,3,5,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,5,0,0
1699.6674,81.4178,0.2562,1699.6674,0,24,4,2,2,0,1,6,1,-999,-999.0,0,[],0,[],1.199200000000019,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1700.8666,98.2485,0.4593,1700.8666,0,25,1,2,2,0,1,6,1,-999,-999.0,1,[23],0,[],1.349100000000135,0,3,3,5,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,5,0,0
1702.2157,87.4194,0.3766,1702.2157,0,26,4,3,3,0,1,6,1,-999,-999.0,2,"[15, 18]",0,[],1.199200000000019,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1703.4149,99.9985,0.5544,1703.4149,0,27,1,1,2,0,3,6,1,-999,-999.0,0,[],0,[],6.595599999999877,0,6,6,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0
1710.0105,57.4904,0.035,1710.0105,0,28,4,2,2,0,2,6,1,-999,-999.0,0,[],0,[],3.4476999999999407,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1713.4582,121.2751,0.8516,1713.4583,0,29,5,4,4,0,2,6,1,-999,-999.0,1,[34],0,[],2.548300000000154,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,5
1716.0065,130.8574,0.8488,1716.0065,0,30,5,4,4,0,1,6,1,-999,-999.0,1,[39],0,[],2.098600000000033,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,5
1718.1051,125.2817,0.8332,1718.1051,0,31,5,4,4,0,1,6,1,-999,-999.0,0,[],0,[],1.6488999999999123,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,5
1719.754,116.2568,0.7292,1719.754,0,32,5,4,4,0,1,6,1,-999,-999.0,0,[],0,[],2.398300000000063,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,5
